V1,V2
-16.4570748840239,-7.20181813556367
-32.8152654705708,-3.00399351965916
-21.1046559645299,-8.40054294745946
-29.2899210235844,-6.85978031628188
-16.4324456626407,-1.21199456239575
-31.1548279656345,-8.27624271893076
-13.9856221755556,-8.69051157836972
-21.6923547272836,-6.79958387357714
-30.0679407003791,-6.4558155477794
-23.6565655482583,-4.24911903908742
-21.2092733236625,-1.72721217281973
-25.7835774769256,-5.30467060168457
-27.7842354608004,-8.0708153738129
-20.6181800206367,-4.69973860971288
-29.9257189899725,-8.34283971253075
-26.7928133816315,-2.66475152069526
-29.6915468287632,-9.00048028949846
-29.9278035399868,-7.98608876072703
-26.4656711232735,-7.18037570887288
-18.0572939798712,-4.90242145064784
-31.3030622670681,-9.24917528321154
-29.1183858074739,-4.25221668396316
-20.3457128998383,-5.07048635564613
-29.6283099463781,-5.23197719740977
-22.3502052538419,-7.28154716522811
-25.8000187724376,-4.94469758569875
-24.6433917532567,-5.65299266538107
-33.2572119441132,-6.90750897922195
-27.3560763706124,-4.62512112599424
-27.2593151652736,-5.30662552347092
-25.7182881477521,-5.14356038027632
-26.1502107948334,-8.50942078138473
-22.4739783276997,-6.50278662058103
-26.4903048329435,-4.31088031208751
-33.0502998366564,-7.62647114796359
-25.4346488795647,-5.56260875316058
-30.1259880857594,-4.39949318432545
-13.9096812547977,-10.8360820346364
-30.14456701488,-3.61057262089906
-22.8881912616441,-7.083790445702
-29.2899898083767,-5.6638766985355
-28.0026652159507,-5.38013197328173
-33.3624127115406,-5.23602750312316
-15.0778937697905,-7.54951711574055
-25.0361165574057,-0.791392522406907
-31.7435423491188,-10.4071245947763
-23.508934588114,-3.10438741808197
-25.9692590773072,-5.24289839374998
-29.7013186690278,-9.33530324342471
-19.6908256484349,1.57380180090033
-25.4017478181887,-2.6511442075229
-29.2262351889541,-6.40086496178323
-22.2135314828703,-3.764688345525
-26.2480865285466,-4.02368548576019
-25.9012016871105,-6.3059513572741
-23.7084461194801,-7.2663103382082
-28.6760236389316,-3.72406773601302
-32.8052015143428,-3.86699453861557
-25.490187244767,-6.00050752372981
-31.1411858718657,-4.1696184022464
-30.5639943964981,-1.68331562166662
-22.5432350006254,-3.25575259015259
-29.5039743562787,-6.12922761586621
-25.3992710874997,-7.6904345576883
-22.5364712498605,-6.83061341246258
-29.798689013084,-5.04429200435193
-30.2999111857272,-6.48590850580709
